id,response
Ses01F_impro01_F000.wav,"The voice, marked by a steady and moderate pitch with clear articulation, hangs with a reserved composure, conveying a neutral and poised disposition as if seeking attention or clarification without emotional strain."
Ses01F_impro01_F001.wav,"The voice was steady and measured, conveying a sense of calm and detachment, while the consistent pitch suggested a matter-of-fact attitude devoid of overt emotional emphasis."
Ses01F_impro01_F002.wav,"The voice carried a steady and even pitch, reflecting a composed and neutral demeanor, with a straightforward inquiry that avoids any emotional bias or urgency."
Ses01F_impro01_F003.wav,"The voice was steady and even, with a consistent pitch and a neutral tone, suggesting a straightforward, matter-of-fact delivery devoid of noticeable emotional inflection or intensity."
Ses01F_impro01_F004.wav,"The voice carried a steady and calm demeanor, with a measured consistency in pitch, suggesting a sense of clarity and straightforward communication."
Ses01F_impro01_F005.wav,"The voice maintained a steady and level quality, demonstrating a composed and pragmatic approach, with an undertone of readiness to take action and address the issue at hand."
Ses01F_impro01_F006.wav,"The voice carried a tone of agitation and impatience, with sharp inflections and an elevated pitch that conveyed a sense of frustration and urgency, indicative of someone asserting their predicament in an exasperated manner."
Ses01F_impro01_F007.wav,"The voice exhibited a tone marked by exasperation, with a rising inflection that accentuated the speaker's incredulity and impatience, reflecting a struggle with a bureaucratic absurdity."
Ses01F_impro01_F008.wav,"The voice carried an undertone of irritation, marked by a direct and clipped manner of speaking, suggesting a sense of impatience and underlying frustration with the situation."
Ses01F_impro01_F009.wav,"The voice carried an edge of impatience, with a sharp tone that conveyed a sense of exasperation and defensiveness, punctuated by tightly controlled inflections that hinted at a simmering frustration beneath the surface."
Ses01F_impro01_F010.wav,"The voice was marked by a sharp and exasperated tone, with a crest of frustration peaking through in the rising pitch and quickened pace, suggesting a sense of incredulity and impatience towards the matter at hand."
Ses01F_impro01_F011.wav,"The voice carries a strained and exasperated tone, with a hurried and clipped cadence that underscores a sense of urgency and frustration, as if the speaker feels overwhelmed and desperate for a resolution."
Ses01F_impro01_F012.wav,"The voice exuded an intensity with a forceful pitch, articulating the phrase sharply and decisively, revealing a sense of heightened frustration and a lack of tolerance for the situation described."
Ses01F_impro01_F013.wav,"The voice carries an agitated intensity; the increasing pitch and clipped speaking rate reveal growing impatience and frustration, suggestive of exasperation and a pressing need for answers."
Ses01F_impro01_F014.wav,"The voice conveyed a sense of mild curiosity and reserved insistence, with an even tone and steady inflection, suggesting a pursuit of clarification or assistance without overt emotion."
Ses01F_impro01_F015.wav,"The voice carried a strained intensity, with a curt and clipped delivery, revealing an underlying sense of irritation and a desire for resolution."
Ses01F_impro01_M000.wav,"The voice is terse and clipped, with a consistently agitated undertone, conveying a sense of impatience likely spurred by a bothersome situation."
Ses01F_impro01_M001.wav,"The voice conveyed an underlying tension, with a steady pitch and a quickened speaking rate that suggested an urgent and impatient plea for attention."
Ses01F_impro01_M002.wav,"The voice carried an insistent and pressing tone, with a sharp edge that hinted at underlying irritation, illustrated by a moderately elevated pitch and a brisk speaking rate."
Ses01F_impro01_M003.wav,"The voice carried a tense and strained edge, the tone interlaced with annoyance and a hint of impatience, as if the speaker felt burdened by repeating information they believed should have been clear."
Ses01F_impro01_M004.wav,"The voice carried a noticeable tension, with sharp enunciation and a brisk pace, suggesting a buildup of frustration, perhaps due to a challenging situation or repeated attempts at clarification."
Ses01F_impro01_M005.wav,"The voice carried a restrained impatience, delivered with clipped articulation and an underlying tone that conveyed a struggle to maintain composure, suggestive of minor exasperation at the apparent misunderstanding or miscommunication."
Ses01F_impro01_M006.wav,"The voice conveyed an assertive insistence, with a firm and steady tone, marked by an urgency and the clear expectation of compliance, reflecting a sense of frustration with the current situation. The words were delivered briskly, underlying a need for immediate resolution."
Ses01F_impro01_M007.wav,"The voice was marked by a begrudging resignation, with an undercurrent of impatience suggesting a demand for compliance, the tone firm yet strained as the speaker navigated their frustration."
